CustomerID,Gender,Age,Tenure,Contract,MonthlyCharges,TotalCharges,PaymentMethod,JoinDate,LastInteraction,Churn,InternetService,OnlineSecurity,TechSupport,DeviceProtection,StreamingTV,StreamingMovies,Region,IncomeGroup,FeedbackScore,ComplaintRaised
CUST5301,Female,64.0,13.0,One year,63.9,978.74,Electronic Check,2017-06-08,2023-03-16,No,Satellite,,No,No,Yes,Yes,North,richhh,8,1
CUST10112,Female,77.0,55.0,Month-to-month,116.39,3057.96,Electronic Check,2016-07-07,2022-08-02,Yes,Fiber Optic,No,maybe,Yes,No,corrupt,West,richhh,7,0
CUST10727,Male,31.0,41.0,Month-to-month,112.92,2941.34,Bank Transfer,2021-07-12,2023-11-25,No,Fiber Optic,,,No,No,corrupt,N/A,50000,-1,1
CUST7271,Male,43.0,68.0,One year,28.13,304.57,Bank Transfer,2018-02-11,2023-04-11,No,??,,No,Yes,?,Yes,N/A,High,-1,0
CUST5442,Other,72.0,0.0,Month-to-month,21.04,281.22,Mailed Check,2016-09-30,2022-12-26,Yes,DSL,N/A,,Yes,Yes,No,N/A,Low,good,0
CUST7728,Female,50.0,47.0,Two year,90.4,2462.39,Credit Card,2016-09-09,2023-03-20,No,Satellite,No,maybe,Yes,Yes,corrupt,East,High,5,0
CUST5533,Other,78.0,9.0,Month-to-month,31.88,5474.02,Electronic Check,2016-08-29,2023-12-18,No,Satellite,,Yes,unknown,?,Yes,N/A,50000,99,No
,,,,,,,,,,,,,,,,,,,,
CUST10849,Male,70.0,62.0,Two year,62.7,6195.17,Electronic Check,2016-09-08,2022-12-21,No,DSL,Yes,maybe,unknown,?,corrupt,N/A,High,2,Yes
CUST5428,Female,57.0,23.0,Month-to-month,58.08,7552.05,Electronic Check,2015-10-06,2022-11-02,Yes,DSL,N/A,Yes,Yes,?,corrupt,West,richhh,8,0
CUST1568,Other,50.0,14.0,One year,42.62,3327.0,Credit Card,2020-07-30,2023-10-27,Yes,DSL,No,maybe,No,?,No,West,richhh,5,1
CUST2509,Other,61.0,9.0,Month-to-month,111.36,3079.57,Bank Transfer,2020-03-12,2022-04-17,Yes,??,,No,Yes,?,No,East,50000,6,0
CUST8787,Other,71.0,66.0,Month-to-month,36.05,6491.09,Electronic Check,2020-09-15,2023-07-25,Yes,None,No,Yes,unknown,?,corrupt,East,Low,8,0
CUST1303,Male,34.0,50.0,One year,41.3,5225.95,Electronic Check,2016-03-12,2022-03-26,No,DSL,Yes,maybe,No,No,No,South,High,3,Yes
CUST8548,Female,66.0,44.0,Two year,114.39,3302.11,Mailed Check,2015-12-18,2023-11-04,No,Fiber Optic,N/A,,Yes,No,corrupt,South,High,1,Yes
CUST6529,Male,34.0,15.0,Two year,26.48,7350.53,Mailed Check,2019-07-27,2023-07-19,No,None,Yes,No,No,?,Yes,N/A,richhh,7,0
CUST2121,Female,59.0,46.0,Month-to-month,108.94,3408.1,Bank Transfer,2018-07-24,2022-08-15,No,Fiber Optic,,,Yes,?,No,North,50000,1,0
CUST6204,Male,19.0,5.0,Two year,85.13,7885.86,Credit Card,2015-04-02,2022-12-20,No,Satellite,,No,Yes,No,corrupt,West,High,1,1
CUST8288,Other,58.0,62.0,Two year,96.29,7614.84,Electronic Check,2019-03-27,2023-11-27,Yes,Satellite,,maybe,No,No,Yes,N/A,richhh,good,Yes
CUST6908,Male,57.0,3.0,Month-to-month,41.35,3779.35,Bank Transfer,2017-06-06,2022-06-17,No,Fiber Optic,,maybe,Yes,Yes,No,West,50000,6,0
CUST10841,Other,44.0,59.0,Month-to-month,78.06,1044.1,Mailed Check,2020-01-16,2022-09-10,No,DSL,,No,Yes,Yes,No,North,Low,-1,0
CUST3375,Female,20.0,27.0,Month-to-month,110.94,127.34,Mailed Check,2016-02-12,2023-09-30,Yes,??,N/A,No,Yes,Yes,Yes,North,50000,1,0
CUST3447,Other,33.0,12.0,Two year,25.14,1477.16,Electronic Check,2017-06-14,2022-09-15,Yes,None,,Yes,No,?,corrupt,West,Medium,8,0
CUST6453,Other,26.0,66.0,Two year,35.17,5645.2,Electronic Check,2019-01-19,2022-03-02,Yes,DSL,Yes,,unknown,No,No,East,50000,4,Yes
CUST1315,Female,48.0,32.0,Month-to-month,91.28,3054.92,Electronic Check,2017-01-08,2022-01-21,No,DSL,Yes,No,No,No,No,North,High,5,0
CUST9615,Male,63.0,39.0,Two year,83.1,156.26,Bank Transfer,2015-06-18,2022-09-27,No,None,Yes,,unknown,No,No,North,High,99,Yes
CUST4526,Female,61.0,33.0,Month-to-month,47.15,4400.13,Bank Transfer,2019-01-18,2023-03-18,Yes,Satellite,N/A,,unknown,Yes,No,N/A,High,good,0
,,,,,,,,,,,,,,,,,,,,
CUST9052,Female,51.0,53.0,Month-to-month,69.58,7228.56,Mailed Check,2018-08-07,2023-05-07,No,None,Yes,Yes,Yes,Yes,Yes,East,Low,3,1
,,,,,,,,,,,,,,,,,,,,
CUST8529,Female,69.0,8.0,One year,50.99,2620.1,Credit Card,2020-01-14,2023-04-16,No,Satellite,Yes,,Yes,?,No,East,50000,3,0
,,,,,,,,,,,,,,,,,,,,
CUST10676,Female,41.0,42.0,Month-to-month,43.02,1558.62,Bank Transfer,2019-01-13,2022-02-01,Yes,DSL,No,maybe,Yes,No,corrupt,N/A,50000,good,No
CUST9568,Other,19.0,16.0,One year,45.5,229.43,Credit Card,2017-10-15,2023-08-08,Yes,??,No,maybe,No,Yes,corrupt,N/A,High,5,No
CUST4819,Other,60.0,58.0,Month-to-month,116.06,3002.05,Credit Card,2018-06-11,2022-09-18,No,None,N/A,maybe,No,Yes,Yes,North,50000,7,0
CUST9535,Female,53.0,54.0,One year,119.13,6989.99,Mailed Check,2016-07-06,2023-06-04,No,Satellite,No,,No,Yes,corrupt,East,richhh,10,Yes
CUST5111,Male,71.0,20.0,Two year,107.6,7530.23,Mailed Check,2016-07-31,2023-07-20,No,None,Yes,Yes,unknown,No,Yes,South,Medium,99,0
CUST7739,Male,31.0,8.0,Month-to-month,113.75,2294.63,Mailed Check,2021-08-01,2023-11-23,No,Satellite,No,,No,Yes,corrupt,East,richhh,-1,No
CUST2496,Female,57.0,34.0,One year,119.38,999.36,Electronic Check,2015-05-30,2022-03-15,No,None,,maybe,unknown,No,No,East,Medium,99,0
,,,,,,,,,,,,,,,,,,,,
CUST3270,Male,50.0,47.0,Two year,79.39,1873.15,Bank Transfer,2015-06-11,2023-05-04,Yes,Fiber Optic,No,,unknown,?,Yes,West,50000,1,1
CUST2441,Female,79.0,62.0,One year,60.59,1368.37,Credit Card,2020-07-13,2022-09-08,Yes,Satellite,N/A,Yes,unknown,No,Yes,South,richhh,6,0
CUST6014,Other,44.0,3.0,Month-to-month,80.53,2036.33,Mailed Check,2018-04-25,2022-04-16,No,None,Yes,Yes,No,No,corrupt,N/A,Low,5,Yes
CUST6916,Male,50.0,68.0,One year,63.84,5985.87,Mailed Check,2018-11-21,2022-03-14,Yes,??,No,No,unknown,Yes,corrupt,N/A,High,good,1
,,,,,,,,,,,,,,,,,,,,
CUST2071,Male,56.0,6.0,Month-to-month,115.91,3886.2,Bank Transfer,2020-09-18,2022-03-20,No,Satellite,N/A,,unknown,Yes,corrupt,South,richhh,9,No
CUST3802,Female,43.0,69.0,Two year,75.5,1400.01,Mailed Check,2019-03-26,2022-07-11,No,Fiber Optic,N/A,Yes,No,?,corrupt,East,Medium,good,1
CUST9160,Male,34.0,36.0,One year,30.85,526.02,Bank Transfer,2019-06-19,2022-01-19,Yes,Satellite,,maybe,No,No,Yes,East,Medium,7,No
CUST6920,Other,69.0,11.0,Month-to-month,58.57,605.52,Electronic Check,2015-11-19,2022-05-01,No,Fiber Optic,N/A,,Yes,No,Yes,North,High,10,1
CUST6566,Female,71.0,15.0,Month-to-month,32.71,5709.45,Mailed Check,2015-06-15,2022-12-23,No,DSL,N/A,Yes,No,No,Yes,South,Medium,3,0
CUST10669,Other,49.0,69.0,Two year,119.93,5209.39,Mailed Check,2015-05-03,2022-06-05,No,??,Yes,Yes,Yes,Yes,corrupt,North,richhh,4,0
CUST8470,Male,71.0,29.0,Two year,54.18,700.2,Mailed Check,2018-11-27,2023-10-27,No,Satellite,Yes,,unknown,No,Yes,South,Low,-1,No
CUST6267,Male,65.0,38.0,Month-to-month,78.53,5483.59,Bank Transfer,2020-12-04,2023-10-03,No,DSL,,maybe,No,?,corrupt,East,richhh,99,0
CUST7654,Other,41.0,31.0,Two year,35.11,5580.06,Bank Transfer,2017-01-05,2022-03-05,No,Satellite,No,Yes,No,No,Yes,South,Medium,5,No
CUST10811,Male,31.0,15.0,One year,74.09,5004.85,Mailed Check,2021-10-07,2022-03-23,No,Satellite,N/A,maybe,No,?,No,West,Medium,2,1
CUST6400,Female,71.0,10.0,Month-to-month,45.4,6441.38,Credit Card,2017-02-17,2023-05-29,No,None,No,,Yes,No,No,North,Medium,7,1
CUST9673,Other,23.0,28.0,Month-to-month,68.5,5359.47,Mailed Check,2021-07-16,2022-05-06,No,Satellite,N/A,No,unknown,No,corrupt,West,High,9,1
CUST5793,Male,27.0,65.0,Two year,31.33,1185.5,Bank Transfer,2018-10-14,2023-03-08,No,Satellite,No,No,Yes,No,corrupt,East,richhh,7,1
CUST9695,Male,43.0,33.0,Two year,105.33,6673.92,Bank Transfer,2018-02-15,2023-07-19,Yes,??,Yes,,Yes,?,corrupt,West,High,4,0
CUST1169,Female,30.0,28.0,Month-to-month,24.1,6012.15,Mailed Check,2017-06-09,2022-12-20,Yes,??,No,maybe,No,No,No,N/A,Low,-1,Yes
CUST5574,Female,50.0,26.0,Two year,26.37,4586.4,Electronic Check,2016-10-31,2023-01-13,Yes,None,,Yes,No,?,Yes,East,richhh,8,1
CUST10496,Male,73.0,44.0,One year,96.72,4287.29,Mailed Check,2021-03-10,2022-10-08,No,Fiber Optic,Yes,No,No,No,Yes,N/A,High,8,0
CUST1532,Other,69.0,9.0,Month-to-month,34.82,504.83,Bank Transfer,2017-07-07,2022-02-11,No,Fiber Optic,N/A,Yes,No,?,No,West,High,8,0
CUST9291,Male,52.0,14.0,Month-to-month,115.06,2126.46,Mailed Check,2019-11-07,2022-04-08,No,Fiber Optic,Yes,No,Yes,No,Yes,West,50000,99,No
CUST1718,Male,44.0,5.0,Two year,119.89,5623.49,Mailed Check,2020-07-10,2022-09-14,No,DSL,Yes,,unknown,?,corrupt,N/A,richhh,6,1
CUST9654,Male,74.0,33.0,Two year,105.22,5232.68,Bank Transfer,2021-05-22,2023-03-25,No,None,Yes,maybe,Yes,Yes,Yes,North,Low,6,0
CUST6807,Other,72.0,7.0,Two year,96.6,6120.85,Bank Transfer,2018-08-28,2023-09-19,Yes,Fiber Optic,N/A,No,No,?,No,East,Medium,5,1
CUST4469,Male,70.0,48.0,Month-to-month,96.05,5534.38,Credit Card,2020-11-04,2022-03-06,Yes,Satellite,N/A,No,Yes,?,No,North,Low,4,No
CUST10837,Male,70.0,43.0,Month-to-month,78.43,1447.32,Mailed Check,2018-10-25,2022-03-19,No,Fiber Optic,,maybe,unknown,Yes,No,East,Low,good,1
CUST1483,Female,57.0,55.0,One year,102.28,6888.54,Credit Card,2017-04-25,2022-01-18,No,None,,No,Yes,Yes,No,East,50000,2,Yes
CUST9086,Male,37.0,7.0,Month-to-month,61.71,4969.48,Mailed Check,2017-08-11,2023-02-12,No,DSL,,,Yes,Yes,corrupt,South,High,-1,No
CUST9683,Other,73.0,64.0,Two year,44.04,5752.08,Electronic Check,2020-08-12,2022-06-12,No,Satellite,,maybe,Yes,?,No,South,richhh,7,1
CUST3039,Male,22.0,61.0,Two year,95.69,4252.73,Credit Card,2017-02-28,2023-12-07,No,DSL,No,No,No,No,Yes,West,Low,9,0
CUST5830,Male,55.0,0.0,Month-to-month,47.91,2795.86,Electronic Check,2021-08-06,2022-10-27,Yes,Fiber Optic,N/A,Yes,Yes,?,corrupt,N/A,Medium,99,1
CUST5961,Other,58.0,14.0,One year,42.3,7307.11,Mailed Check,2019-11-19,2022-12-16,No,??,Yes,,unknown,Yes,corrupt,South,50000,6,No
CUST10206,Female,35.0,47.0,Two year,40.41,6198.68,Credit Card,2019-01-30,2022-07-25,Yes,None,No,No,unknown,?,No,South,50000,2,1
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
CUST6974,Female,53.0,41.0,One year,89.77,5094.47,Bank Transfer,2016-12-29,2023-01-23,No,DSL,No,maybe,Yes,No,corrupt,North,richhh,10,Yes
,,,,,,,,,,,,,,,,,,,,
CUST1850,Female,27.0,71.0,One year,47.88,6228.13,Electronic Check,2021-09-12,2023-04-01,No,DSL,No,No,unknown,No,No,West,richhh,7,0
CUST10691,Female,62.0,22.0,Two year,94.53,343.8,Mailed Check,2019-02-18,2023-12-10,No,Satellite,Yes,Yes,Yes,Yes,No,South,Medium,good,No
CUST10313,Female,61.0,40.0,Two year,30.31,1786.22,Credit Card,2021-03-27,2023-12-30,No,Fiber Optic,,No,unknown,?,Yes,North,50000,5,No
CUST9563,Male,49.0,12.0,Two year,66.84,3947.37,Electronic Check,2015-04-30,2022-09-23,No,Satellite,Yes,No,unknown,No,Yes,North,Low,-1,1
CUST4058,Female,59.0,70.0,Two year,104.12,4022.35,Bank Transfer,2020-11-05,2023-09-14,Yes,Fiber Optic,N/A,maybe,unknown,No,Yes,South,Medium,9,No
CUST7312,Female,71.0,49.0,One year,58.75,5999.79,Mailed Check,2018-07-16,2022-01-02,Yes,None,N/A,,unknown,Yes,Yes,South,High,2,Yes
CUST2217,Other,38.0,17.0,Month-to-month,52.68,2700.27,Mailed Check,2019-10-08,2022-09-25,No,Fiber Optic,No,No,No,Yes,corrupt,North,Medium,5,Yes
,,,,,,,,,,,,,,,,,,,,
CUST6120,Male,32.0,35.0,Two year,82.24,2146.12,Bank Transfer,2016-05-08,2022-02-18,Yes,Satellite,No,Yes,unknown,No,No,N/A,High,3,Yes
CUST8855,Other,34.0,38.0,Two year,64.4,3013.1,Electronic Check,2018-06-22,2023-04-14,Yes,??,Yes,maybe,unknown,No,No,North,High,1,1
CUST3709,Other,54.0,14.0,One year,63.61,7963.94,Mailed Check,2017-08-03,2023-06-26,Yes,Fiber Optic,Yes,maybe,unknown,Yes,corrupt,N/A,richhh,10,No
,,,,,,,,,,,,,,,,,,,,
CUST9576,Other,36.0,45.0,Month-to-month,66.74,903.25,Electronic Check,2020-10-24,2023-05-07,No,None,N/A,Yes,Yes,?,No,North,Low,99,1
CUST2597,Female,23.0,15.0,One year,67.9,2698.71,Credit Card,2016-02-14,2023-09-14,No,Satellite,,maybe,unknown,No,No,East,50000,7,0
CUST4936,Female,30.0,32.0,Month-to-month,31.17,7951.19,Credit Card,2021-12-03,2022-01-10,No,Satellite,N/A,,No,Yes,Yes,East,High,8,0
CUST5905,Male,71.0,35.0,Month-to-month,89.47,6167.69,Electronic Check,2021-07-20,2022-08-11,No,Satellite,Yes,No,Yes,?,corrupt,North,Low,3,Yes
CUST3885,Other,78.0,19.0,Two year,91.8,2593.91,Bank Transfer,2016-01-30,2023-10-19,Yes,DSL,N/A,Yes,No,No,No,North,High,8,0
CUST5938,Other,27.0,7.0,One year,23.02,7099.27,Electronic Check,2017-09-11,2023-04-16,No,??,N/A,,unknown,No,No,South,High,3,0
CUST3167,Female,34.0,36.0,One year,92.02,7614.55,Bank Transfer,2015-09-26,2022-12-24,No,Satellite,Yes,Yes,No,?,Yes,East,Low,good,0
CUST9675,Female,18.0,2.0,Month-to-month,116.48,7302.71,Credit Card,2021-11-21,2023-08-01,Yes,Satellite,Yes,maybe,No,?,corrupt,North,richhh,6,1
CUST2530,Other,42.0,68.0,One year,39.94,4511.46,Electronic Check,2017-09-07,2022-11-18,Yes,Satellite,,No,Yes,Yes,Yes,East,richhh,-1,1
CUST6303,Male,67.0,57.0,Two year,104.41,4729.83,Electronic Check,2017-06-20,2022-08-19,No,DSL,Yes,No,No,?,Yes,North,High,8,Yes
CUST5622,Male,34.0,13.0,Month-to-month,117.66,556.03,Bank Transfer,2018-12-31,2022-10-24,No,DSL,N/A,No,No,No,corrupt,South,Medium,7,No
CUST1080,Other,31.0,51.0,Two year,103.68,117.62,Bank Transfer,2018-04-29,2022-05-13,No,None,Yes,maybe,unknown,?,Yes,N/A,Medium,3,Yes
CUST4316,Other,42.0,28.0,One year,107.35,6856.24,Mailed Check,2019-05-21,2023-08-16,Yes,Satellite,,Yes,No,Yes,corrupt,East,richhh,99,1
CUST9564,Female,38.0,52.0,Two year,82.69,4532.56,Credit Card,2015-06-27,2022-09-07,No,Fiber Optic,No,Yes,No,?,Yes,West,Low,2,0
CUST8030,Female,66.0,56.0,Two year,61.25,6786.67,Credit Card,2016-03-06,2023-06-09,No,??,Yes,,unknown,No,Yes,South,Medium,6,1
CUST6942,Other,75.0,40.0,One year,54.15,2412.91,Bank Transfer,2018-05-31,2022-05-14,No,Satellite,No,,unknown,No,Yes,N/A,Low,10,1
CUST4698,Female,21.0,48.0,Month-to-month,104.31,5181.73,Electronic Check,2017-06-15,2022-11-14,No,None,Yes,Yes,unknown,?,Yes,North,Low,10,0
CUST2732,Male,63.0,8.0,One year,30.78,7396.27,Bank Transfer,2020-10-27,2023-07-03,No,Fiber Optic,,No,Yes,?,corrupt,East,50000,1,0
CUST1450,Male,58.0,3.0,Month-to-month,54.55,6788.36,Credit Card,2019-07-14,2022-03-26,Yes,DSL,Yes,No,No,No,Yes,North,richhh,3,Yes
,,,,,,,,,,,,,,,,,,,,
CUST4445,Male,30.0,4.0,Two year,118.38,1800.24,Credit Card,2015-05-27,2023-05-26,No,DSL,N/A,No,No,?,corrupt,South,50000,6,No
CUST5209,Male,41.0,35.0,Month-to-month,61.08,5942.31,Electronic Check,2021-02-02,2022-10-22,No,Satellite,No,No,unknown,No,No,West,Low,-1,Yes
,,,,,,,,,,,,,,,,,,,,
CUST7060,Female,31.0,18.0,Month-to-month,95.3,6397.72,Mailed Check,2017-03-06,2022-06-05,No,Satellite,N/A,,Yes,No,corrupt,N/A,50000,1,1
CUST5196,Other,70.0,22.0,One year,106.23,2260.82,Electronic Check,2015-01-09,2022-05-05,No,??,Yes,maybe,No,No,corrupt,North,50000,3,0
CUST10831,Male,20.0,47.0,Two year,109.7,3737.46,Mailed Check,2015-10-02,2022-04-24,Yes,None,No,No,unknown,No,No,East,Low,5,No
CUST8107,Male,25.0,49.0,Month-to-month,58.86,7825.0,Mailed Check,2016-12-03,2023-06-05,Yes,Satellite,No,Yes,No,?,corrupt,West,50000,10,No
CUST10361,Male,63.0,4.0,Month-to-month,113.44,1865.43,Credit Card,2021-07-17,2022-10-17,No,DSL,N/A,,No,?,Yes,East,50000,2,1
CUST6331,Other,34.0,66.0,Two year,87.51,824.79,Electronic Check,2020-06-08,2023-07-08,Yes,None,,No,No,?,Yes,East,Low,1,No
CUST4784,Female,27.0,11.0,Two year,117.92,7132.76,Credit Card,2017-05-17,2022-10-28,No,None,Yes,No,Yes,Yes,Yes,East,richhh,5,0
CUST10453,Female,65.0,43.0,Two year,26.78,843.78,Electronic Check,2015-02-16,2022-04-18,No,??,N/A,No,No,?,Yes,East,Medium,10,0
CUST4045,Male,78.0,36.0,Month-to-month,30.66,5443.51,Bank Transfer,2015-01-21,2022-05-27,Yes,Fiber Optic,Yes,,Yes,No,corrupt,East,Low,-1,0
CUST7478,Female,64.0,70.0,Month-to-month,34.41,2377.11,Electronic Check,2015-09-04,2023-05-04,No,??,Yes,Yes,Yes,?,corrupt,N/A,High,6,0
CUST4582,Male,58.0,66.0,One year,88.06,5171.11,Mailed Check,2018-08-20,2022-04-30,Yes,None,N/A,No,Yes,No,No,West,richhh,6,Yes
CUST10620,Female,52.0,15.0,One year,95.9,6272.99,Electronic Check,2017-01-24,2022-05-14,No,??,No,Yes,unknown,No,No,East,High,6,1
CUST7649,Male,59.0,2.0,One year,57.64,5997.0,Mailed Check,2019-09-13,2022-06-06,Yes,Satellite,Yes,,unknown,No,Yes,East,Low,3,No
CUST5032,Female,30.0,56.0,One year,39.06,1897.2,Mailed Check,2015-09-04,2022-10-13,Yes,DSL,N/A,No,Yes,No,No,North,Low,7,No
CUST9293,Other,53.0,39.0,One year,50.54,510.1,Bank Transfer,2018-07-05,2022-11-25,No,Fiber Optic,N/A,maybe,unknown,No,Yes,East,Medium,4,0
CUST5102,Male,38.0,58.0,Two year,109.88,2457.36,Bank Transfer,2020-10-07,2022-12-02,No,Satellite,N/A,No,unknown,?,No,South,Medium,99,1
CUST8020,Female,36.0,54.0,Two year,61.15,5765.2,Credit Card,2019-03-29,2022-11-27,No,Fiber Optic,,No,unknown,No,corrupt,West,50000,2,No
CUST7027,Male,26.0,62.0,One year,26.36,5979.03,Electronic Check,2017-11-30,2023-08-15,Yes,None,,maybe,unknown,Yes,No,N/A,High,5,Yes
CUST3335,Female,32.0,31.0,One year,45.78,4762.71,Electronic Check,2016-02-25,2023-02-10,No,DSL,No,maybe,No,?,corrupt,North,richhh,4,1
CUST2180,Other,64.0,69.0,Month-to-month,86.13,5640.26,Electronic Check,2018-12-13,2023-03-20,No,Fiber Optic,Yes,No,Yes,?,corrupt,East,High,8,Yes
CUST9692,Other,19.0,30.0,Month-to-month,103.74,2807.89,Credit Card,2017-07-06,2022-10-09,Yes,None,No,Yes,Yes,Yes,Yes,N/A,High,4,Yes
CUST1518,Male,69.0,64.0,Month-to-month,29.29,6284.15,Electronic Check,2018-03-28,2022-04-17,No,??,N/A,,unknown,Yes,Yes,North,Medium,6,Yes
CUST8616,Male,37.0,70.0,One year,83.06,4553.03,Mailed Check,2021-07-07,2023-11-08,No,Fiber Optic,N/A,maybe,No,No,Yes,South,Medium,2,Yes
CUST2208,Male,49.0,47.0,Month-to-month,86.93,6859.78,Bank Transfer,2020-03-20,2023-05-11,No,DSL,No,Yes,Yes,?,corrupt,South,Medium,6,No
CUST3221,Female,21.0,70.0,One year,84.34,957.9,Bank Transfer,2018-08-22,2023-08-15,No,DSL,Yes,No,unknown,Yes,Yes,South,High,8,Yes
CUST1346,Male,59.0,0.0,Two year,113.48,2541.45,Electronic Check,2021-01-14,2023-12-22,Yes,??,,Yes,unknown,Yes,Yes,North,High,99,1
CUST5220,Other,23.0,14.0,Two year,39.63,2245.81,Bank Transfer,2016-02-16,2022-02-16,Yes,Satellite,,No,unknown,?,corrupt,N/A,richhh,6,No
CUST7884,Female,68.0,32.0,One year,62.66,371.09,Electronic Check,2017-09-13,2023-10-16,Yes,Fiber Optic,,No,unknown,?,Yes,South,Medium,1,No
CUST2111,Male,30.0,58.0,One year,66.8,1010.16,Credit Card,2019-03-29,2022-03-27,No,??,N/A,Yes,No,No,corrupt,North,richhh,4,Yes
CUST7220,Other,54.0,41.0,One year,99.1,1863.49,Bank Transfer,2021-05-24,2022-03-07,No,DSL,Yes,No,No,No,corrupt,South,Medium,8,0
CUST2569,Other,18.0,28.0,Two year,91.74,6960.66,Mailed Check,2016-08-29,2022-12-24,Yes,Fiber Optic,No,No,unknown,Yes,No,West,50000,1,No
CUST9947,Other,65.0,46.0,Month-to-month,93.38,7158.76,Mailed Check,2015-05-23,2023-02-03,No,None,N/A,Yes,No,No,No,North,richhh,10,No
CUST2692,Male,68.0,22.0,Two year,72.69,52.56,Electronic Check,2019-04-14,2023-04-30,No,??,,Yes,unknown,No,corrupt,N/A,Low,-1,No
,,,,,,,,,,,,,,,,,,,,
